Наименование ЮЛ;"ООО ""ИТ"""
ИНН ЮЛ;1234567890
Мобильный телефон ответственного сотрудника кадровой службы;89991234567
Мобильной телефон генерального директора или иного единоличного исполнительного органа;89991234567
ФИО генерального директора или иного единоличного исполнительного органа;Иванов Иван Иванович
СНИЛС генерального директора или иного единоличного исполнительного органа;123-123-123 00
;
ФИО сотрудника;Иванов Петр Петрович
Серия паспорта сотрудника;1234
№ паспорта сотрудника;123456
СНИЛС сотрудника;123-123-123 00
;
Подтверждаю, что сотрудник:;
"— работает в организации по трудовому договору с нормальной продолжительностью рабочего времени или ненормированным рабочим днем;";
"— задействован в разработке, развитии, внедрении, сопровождении и эксплуатации решений в области информационных технологий и обеспечения функционирования информационной инфраструктуры и (или) в обеспечении устойчивости, безопасности и целостности функционирования сооружений связи, центров обработки данных, а также средств и линий связи общего пользования Российской Федерации;";
— имеет необходимое соответствующее высшее образование для выполнения своих обязанностей;
;
Предоставляю право сотруднику от имени организации:;
"— заполнить данные о стаже, воинском учете и дипломе, а также другие данные в соответствии с формой на включение в список для получения отсрочки от мобилизации, размещенной на едином портале государственных услуг;";
— подать с использованием единого портала государственных услуг заявление на себя о включении в список для получения отсрочки от мобилизации;
;
Предупреждён об ответственности за предоставление неактуальной или недостоверной информации, используемой для решения вопроса о непривлечении сотрудника к призыву на военную службу по мобилизации в соответствии с законодательством Российской Федерации;
Предупредил сотрудника об ответственности за предоставление неактуальной или недостоверной информации при заполнении формы на едином портале государственных услуг, в соответствии с законодательством Российской Федерации;
;
Настоящая форма подписана генеральным директором или иным единоличным исполнительным органом организации его усиленной квалифицированной электронной подписью (как должностного лица организации);
